,,Pais,Liga,Jogador,Time,Temporada,ass,gols,rank,Ano_inicio
115,,Ireland,Premier_league,Harry Arter,AFC Bournemouth,2016-2017,4,1,,2016
116,,England,Premier_league,Kyle Walker,Tottenham Hotspur,2016-2017,5,0,,2016
117,,England,Premier_league,Kieran Trippier,Tottenham Hotspur,2016-2017,5,0,,2016
118,,England,Premier_league,Jason Puncheon,Crystal Palace,2016-2017,5,0,,2016
119,,Netherlands,Premier_league,Marten de Roon,Middlesbrough FC,2016-2017,0,4,120.,2016
120,,Uruguay,Premier_league,Cristhian Stuani,Middlesbrough FC,2016-2017,0,4,,2016
121,,Italy,Premier_league,Stefano Okaka,Watford FC,2016-2017,0,4,,2016
122,,England,Premier_league,Alfie Mawson,Swansea City,2016-2017,0,4,,2016
123,,Italy,Premier_league,Manolo Gabbiadini,Southampton FC,2016-2017,0,4,,2016
124,,England,Premier_league,Craig Dawson,West Bromwich Albion,2016-2017,0,4,,2016
125,,Ireland,Premier_league,Shane Long,Southampton FC,2016-2017,1,3,,2016
126,,Ecuador,Premier_league,Enner Valencia,West Ham UnitedEverton FC,2016-2017,1,3,,2016
127,,England,Premier_league,Sam Clucas,Hull City,2016-2017,1,3,,2016
128,,England,Premier_league,Scott Dann,Crystal Palace,2016-2017,1,3,,2016
129,,Netherlands,Premier_league,Nathan Aké,Chelsea FCAFC Bournemouth,2016-2017,1,3,,2016
130,,Germany,Premier_league,İlkay Gündoğan,Manchester City,2016-2017,1,3,,2016
131,,Japan,Premier_league,Shinji Okazaki,Leicester City,2016-2017,1,3,,2016
132,,England,Premier_league,Daniel Sturridge,Liverpool FC,2016-2017,1,3,,2016
133,,England,Premier_league,Wayne Routledge,Swansea City,2016-2017,1,3,,2016
134,,Italy,Premier_league,Andrea Ranocchia,Hull City,2016-2017,2,2,,2016
135,,England,Premier_league,Marc Pugh,AFC Bournemouth,2016-2017,2,2,,2016
136,,Switzerland,Premier_league,Granit Xhaka,Arsenal FC,2016-2017,2,2,,2016
137,,New Zealand,Premier_league,Winston Reid,West Ham United,2016-2017,2,2,,2016
138,,Argentina,Premier_league,Roberto Pereyra,Watford FC,2016-2017,2,2,,2016
139,,England,Premier_league,Danny Welbeck,Arsenal FC,2016-2017,2,2,,2016
140,,Spain,Premier_league,Santi Cazorla,Arsenal FC,2016-2017,2,2,,2016
141,,England,Premier_league,Danny Rose,Tottenham Hotspur,2016-2017,2,2,,2016
142,,Germany,Premier_league,Robert Huth,Leicester City,2016-2017,2,2,,2016
143,,England,Premier_league,Harry Maguire,Hull City,2016-2017,2,2,,2016
144,,Netherlands,Premier_league,Vincent Janssen,Tottenham Hotspur,2016-2017,2,2,,2016
145,,Germany,Premier_league,Shkodran Mustafi,Arsenal FC,2016-2017,2,2,,2016
146,,Senegal,Premier_league,M'Baye Niang,Watford FC,2016-2017,2,2,,2016
147,,Wales,Premier_league,Ben Davies,Tottenham Hotspur,2016-2017,3,1,,2016
148,,Ecuador,Premier_league,Antonio Valencia,Manchester United,2016-2017,3,1,,2016
149,,Spain,Premier_league,Azpilicueta,Chelsea FC,2016-2017,3,1,,2016
150,,Belgium,Premier_league,Steven Defour,Burnley FC,2016-2017,3,1,,2016
151,,England,Premier_league,Demarai Gray,Leicester City,2016-2017,3,1,,2016
152,,England,Premier_league,Stewart Downing,Middlesbrough FC,2016-2017,3,1,,2016
153,,Ghana,Premier_league,Jordan Ayew,Swansea City,2016-2017,3,1,,2016
154,,Wales,Premier_league,Ashley Williams,Everton FC,2016-2017,3,1,,2016
155,,Scotland,Premier_league,Charlie Adam,Stoke City,2016-2017,3,1,,2016
156,,Belgium,Premier_league,Vincent Kompany,Manchester City,2016-2017,0,3,157.,2016
157,,Spain,Premier_league,Bojan,Stoke City,2016-2017,0,3,,2016
158,,England,Premier_league,Michael Dawson,Hull City,2016-2017,0,3,,2016
159,,England,Premier_league,Mark Noble,West Ham United,2016-2017,0,3,,2016
160,,Nigeria,Premier_league,Victor Anichebe,Sunderland AFC,2016-2017,0,3,,2016
161,,England,Premier_league,James Tomkins,Crystal Palace,2016-2017,0,3,,2016
162,,Netherlands,Premier_league,Daryl Janmaat,Watford FC,2016-2017,1,2,,2016
163,,Scotland,Premier_league,George Boyd,Burnley FC,2016-2017,1,2,,2016
164,,England,Premier_league,Michael Keane,Burnley FC,2016-2017,1,2,,2016
165,,England,Premier_league,Gareth Barry,Everton FC,2016-2017,1,2,,2016
166,,Ireland,Premier_league,Jeff Hendrick,Burnley FC,2016-2017,1,2,,2016
